acopio,anio,mes,fecha,orig_mes,orig_ytd,equiv_mes,equiv_ytd
LAS VARILLAS,2024,1,2024-01-01,26445,26445,3464.85,3464.85
LAS VARILLAS,2024,2,2024-02-01,4698,31143,1562.72,5027.57
LAS VARILLAS,2024,3,2024-03-01,8700,39843,630.98,5658.549999999999
LAS VARILLAS,2024,4,2024-04-01,5717,45560,4825.280000000001,10483.83
LAS VARILLAS,2024,5,2024-05-01,6607,52167,4899.74,15383.57
LAS VARILLAS,2024,6,2024-06-01,8512,60679,5612.41,20995.98
LAS VARILLAS,2024,7,2024-07-01,12707,73386,3828.19,24824.17
LAS VARILLAS,2024,8,2024-08-01,135,73521,1495.33,26319.5
LAS VARILLAS,2024,9,2024-09-01,4542,78063,3229.24,29548.739999999998
LAS VARILLAS,2024,10,2024-10-01,1538,79601,895.5,30444.239999999998
LAS VARILLAS,2024,11,2024-11-01,4809,84410,4741.77,35186.009999999995
LAS VARILLAS,2024,12,2024-12-01,6445,90855,6112.98,41298.98999999999
LAS VARILLAS,2025,1,2025-01-01,26502.480000000003,26502.480000000003,3007.02,3007.02
LAS VARILLAS,2025,2,2025-02-01,12473.481999999996,38975.962,4881.709999999999,7888.73
LAS VARILLAS,2025,3,2025-03-01,15560.934999999998,54536.897,2018.0200000000004,9906.75
LAS VARILLAS,2025,4,2025-04-01,35683.103,90220,8559.11,18465.86
LAS VARILLAS,2025,5,2025-05-01,25779.349000000002,115999.349,7602.27,26068.13
LAS VARILLAS,2025,6,2025-06-01,36693.28200000005,152692.63100000005,5679.630000000001,31747.760000000002
LAS VARILLAS,2025,7,2025-07-01,17341.09599999999,170033.72700000004,5276.1500000000015,37023.91
LAS VARILLAS,2025,8,2025-08-01,15292.847000000038,185326.57400000008,4474.730000000003,41498.64000000001
LAS VARILLAS,2025,9,2025-09-01,19450.985999999917,204777.56,4084.389999999992,45583.03
LAS VARILLAS,2025,10,2025-10-01,15129.823000000004,219907.383,5688.110000000008,51271.14000000001
PIQUETE CABADO,2017,1,2017-01-01,41001,41001,0,0
PIQUETE CABADO,2017,2,2017-02-01,4835,45836,0,0
PIQUETE CABADO,2017,3,2017-03-01,17623.22,63459.22,0,0
PIQUETE CABADO,2017,4,2017-04-01,18863.273,82322.493,5449.46,5449.46
PIQUETE CABADO,2017,5,2017-05-01,17335.009999999995,99657.503,28016.270000000004,33465.73
PIQUETE CABADO,2017,6,2017-06-01,30736.309999999998,130393.813,26050.18,59515.91
PIQUETE CABADO,2017,7,2017-07-01,10571.133000000002,140964.946,3239.8600000000006,62755.770000000004
